,name,pasType,bufferVal,spacing,minh,distance,tolerance,TruePositives,FalsePositives,FalseNegatives,TrueNegatives
255,Y,IN,1,50,5.103157420234897e-05,25,0,62,22,122,162
256,Y,TE,1,50,5.373863956935208e-05,25,0,60,29,35,66
257,Y,IN,1,50,5.373863956935208e-05,25,0,62,22,122,162
258,Y,TE,1,50,5.6558347537972355e-05,25,0,60,29,35,66
259,Y,IN,1,50,5.6558347537972355e-05,25,0,61,22,123,162
260,Y,TE,1,50,5.9503553162298034e-05,25,0,60,29,35,66
261,Y,IN,1,50,5.9503553162298034e-05,25,0,60,22,124,162
262,Y,TE,1,50,6.258088252872146e-05,25,0,60,29,35,66
263,Y,IN,1,50,6.258088252872146e-05,25,0,59,22,125,162
264,Y,TE,1,50,6.579744633126796e-05,25,0,60,28,35,67
265,Y,IN,1,50,6.579744633126796e-05,25,0,59,21,125,163
266,Y,TE,1,50,6.916279424208485e-05,25,0,60,28,35,67
267,Y,IN,1,50,6.916279424208485e-05,25,0,59,21,125,163
268,Y,TE,1,50,7.26826372011691e-05,25,0,60,28,35,67
269,Y,IN,1,50,7.26826372011691e-05,25,0,59,20,125,164
270,Y,TE,1,50,7.637262516287333e-05,25,0,60,28,35,67
271,Y,IN,1,50,7.637262516287333e-05,25,0,59,20,125,164
272,Y,TE,1,50,8.02413126351504e-05,25,0,59,28,36,67
273,Y,IN,1,50,8.02413126351504e-05,25,0,59,20,125,164
274,Y,TE,1,50,8.429298837344815e-05,25,0,59,28,36,67
275,Y,IN,1,50,8.429298837344815e-05,25,0,59,20,125,164
276,Y,TE,1,50,8.854082809258606e-05,25,0,59,28,36,67
277,Y,IN,1,50,8.854082809258606e-05,25,0,59,20,125,164
278,Y,TE,1,50,9.29962951204289e-05,25,0,59,28,36,67
279,Y,IN,1,50,9.29962951204289e-05,25,0,59,19,125,165
280,Y,TE,1,50,9.76699825394582e-05,25,0,59,28,36,67
281,Y,IN,1,50,9.76699825394582e-05,25,0,58,19,126,165
282,Y,TE,1,50,0.00010257607577622926,25,0,59,28,36,67
283,Y,IN,1,50,0.00010257607577622926,25,0,58,19,126,165
284,Y,TE,1,50,0.00010772623633702747,25,0,58,28,37,67
285,Y,IN,1,50,0.00010772623633702747,25,0,58,18,126,166
286,Y,TE,1,50,0.00011312761002080568,25,0,58,28,37,67
287,Y,IN,1,50,0.00011312761002080568,25,0,57,18,127,166
288,Y,TE,1,50,0.00011879367445999373,25,0,58,28,37,67
289,Y,IN,1,50,0.00011879367445999373,25,0,56,18,128,166
290,Y,TE,1,50,0.00012474516769543696,25,0,58,28,37,67
291,Y,IN,1,50,0.00012474516769543696,25,0,56,18,128,166
292,Y,TE,1,50,0.00013098843728808054,25,0,58,27,37,68
293,Y,IN,1,50,0.00013098843728808054,25,0,56,18,128,166
294,Y,TE,1,50,0.00013754133996373067,25,0,58,27,37,68
295,Y,IN,1,50,0.00013754133996373067,25,0,56,18,128,166
296,Y,TE,1,50,0.0001444071882724529,25,0,58,27,37,68
297,Y,IN,1,50,0.0001444071882724529,25,0,56,18,128,166
298,Y,TE,1,50,0.00015160583959884986,25,0,58,27,37,68
299,Y,IN,1,50,0.00015160583959884986,25,0,56,18,128,166
300,Y,TE,1,50,0.00015916267128997393,25,0,58,26,37,69
301,Y,IN,1,50,0.00015916267128997393,25,0,56,17,128,167
302,Y,TE,1,50,0.00016708290049631782,25,0,58,25,37,70
303,Y,IN,1,50,0.00016708290049631782,25,0,55,17,129,167
304,Y,TE,1,50,0.00017538682979210748,25,0,58,25,37,70
305,Y,IN,1,50,0.00017538682979210748,25,0,55,17,129,167
306,Y,TE,1,50,0.00018410010542503679,25,0,58,24,37,71
307,Y,IN,1,50,0.00018410010542503679,25,0,55,17,129,167
308,Y,TE,1,50,0.00019322733034771644,25,0,58,24,37,71
309,Y,IN,1,50,0.00019322733034771644,25,0,54,17,130,167
310,Y,TE,1,50,0.00020280518574089453,25,0,57,24,38,71
311,Y,IN,1,50,0.00020280518574089453,25,0,54,17,130,167
312,Y,TE,1,50,0.0002128585827462562,25,0,57,24,38,71
313,Y,IN,1,50,0.0002128585827462562,25,0,52,17,132,167
314,Y,TE,1,50,0.00022340147254313843,25,0,57,24,38,71
315,Y,IN,1,50,0.00022340147254313843,25,0,51,16,133,168
316,Y,TE,1,50,0.00023447614976222352,25,0,57,24,38,71
317,Y,IN,1,50,0.00023447614976222352,25,0,50,16,134,168
318,Y,TE,1,50,0.00024612108265081097,25,0,57,24,38,71
319,Y,IN,1,50,0.00024612108265081097,25,0,50,16,134,168
320,Y,TE,1,50,0.0002583488740638875,25,0,57,24,38,71
321,Y,IN,1,50,0.0002583488740638875,25,0,50,15,134,169
322,Y,TE,1,50,0.00027122801689172,25,0,57,24,38,71
323,Y,IN,1,50,0.00027122801689172,25,0,50,15,134,169
324,Y,TE,1,50,0.0002847942861920343,25,0,57,23,38,72
325,Y,IN,1,50,0.0002847942861920343,25,0,50,14,134,170
326,Y,TE,1,50,0.00029909067699278877,25,0,57,23,38,72
327,Y,IN,1,50,0.00029909067699278877,25,0,50,14,134,170
328,Y,TE,1,50,0.0003141848512753782,25,0,56,21,39,74
329,Y,IN,1,50,0.0003141848512753782,25,0,50,14,134,170
330,Y,TE,1,50,0.0003301293440520337,25,0,55,21,40,74
331,Y,IN,1,50,0.0003301293440520337,25,0,50,14,134,170
332,Y,TE,1,50,0.0003470264148914034,25,0,55,21,40,74
333,Y,IN,1,50,0.0003470264148914034,25,0,50,14,134,170
334,Y,TE,1,50,0.00036493262881032314,25,0,55,21,40,74
335,Y,IN,1,50,0.00036493262881032314,25,0,49,13,135,171
