,name,pasType,bufferVal,spacing,minh,distance,tolerance,TruePositives,FalsePositives,FalseNegatives,TrueNegatives
181,13,IN,1,50,0.0018228366908494664,1,0,1645,472,2710,3883
182,13,TE,1,50,0.0020772677956175847,1,0,1297,416,1361,2242
183,13,IN,1,50,0.0020772677956175847,1,0,1603,428,2752,3927
184,13,TE,1,50,0.002406047242256396,1,0,1260,377,1398,2281
185,13,IN,1,50,0.002406047242256396,1,0,1565,377,2790,3978
186,13,TE,1,50,0.0028463750485353085,1,0,1227,335,1431,2323
187,13,IN,1,50,0.0028463750485353085,1,0,1515,324,2840,4031
188,13,TE,1,50,0.0034641027338373634,1,0,1169,288,1489,2370
189,13,IN,1,50,0.0034641027338373634,1,0,1440,278,2915,4077
190,13,TE,1,50,0.004381964885803229,1,0,1105,252,1553,2406
191,13,IN,1,50,0.004381964885803229,1,0,1385,231,2970,4124
192,13,TE,1,50,0.005862944543443387,1,0,1038,188,1620,2470
193,13,IN,1,50,0.005862944543443387,1,0,1306,173,3049,4182
194,13,TE,1,50,0.008576700452046294,1,0,957,132,1701,2526
195,13,IN,1,50,0.008576700452046294,1,0,1214,122,3141,4233
196,13,TE,1,50,0.015003258994833474,1,0,841,89,1817,2569
197,13,IN,1,50,0.015003258994833474,1,0,1070,66,3285,4289
198,13,TE,1,50,0.4893544462033438,1,0,0,0,2658,2658
199,13,IN,1,50,0.4893544462033438,1,0,0,0,4355,4355
200,13,TE,1,50,5.940196442901604e-07,25,0,1793,991,865,1667
201,13,IN,1,50,5.940196442901604e-07,25,0,1712,588,2643,3767
202,13,TE,1,50,1.016535778812721e-06,25,0,1793,991,865,1667
203,13,IN,1,50,1.016535778812721e-06,25,0,1712,588,2643,3767
204,13,TE,1,50,1.6093086668181623e-06,25,0,1793,991,865,1667
205,13,IN,1,50,1.6093086668181623e-06,25,0,1712,588,2643,3767
206,13,TE,1,50,2.0779157985436884e-06,25,0,1793,991,865,1667
207,13,IN,1,50,2.0779157985436884e-06,25,0,1712,588,2643,3767
208,13,TE,1,50,2.790339598377975e-06,25,0,1793,991,865,1667
209,13,IN,1,50,2.790339598377975e-06,25,0,1712,588,2643,3767
210,13,TE,1,50,3.717084910976357e-06,25,0,1793,991,865,1667
211,13,IN,1,50,3.717084910976357e-06,25,0,1712,588,2643,3767
212,13,TE,1,50,4.505954604354668e-06,25,0,1793,991,865,1667
213,13,IN,1,50,4.505954604354668e-06,25,0,1712,588,2643,3767
214,13,TE,1,50,8.321941163168395e-06,25,0,1792,991,866,1667
215,13,IN,1,50,8.321941163168395e-06,25,0,1710,588,2645,3767
216,13,TE,1,50,1.1018953906086284e-05,25,0,1790,991,868,1667
217,13,IN,1,50,1.1018953906086284e-05,25,0,1710,588,2645,3767
218,13,TE,1,50,1.3402359850748068e-05,25,0,1788,991,870,1667
219,13,IN,1,50,1.3402359850748068e-05,25,0,1705,588,2650,3767
220,13,TE,1,50,1.55044306682279e-05,25,0,1788,991,870,1667
221,13,IN,1,50,1.55044306682279e-05,25,0,1699,588,2656,3767
222,13,TE,1,50,1.7471071247752787e-05,25,0,1787,989,871,1669
223,13,IN,1,50,1.7471071247752787e-05,25,0,1696,588,2659,3767
224,13,TE,1,50,1.9366859082867094e-05,25,0,1787,989,871,1669
225,13,IN,1,50,1.9366859082867094e-05,25,0,1694,588,2661,3767
226,13,TE,1,50,2.1228257879976858e-05,25,0,1785,986,873,1672
227,13,IN,1,50,2.1228257879976858e-05,25,0,1693,585,2662,3770
228,13,TE,1,50,2.3079783295543167e-05,25,0,1781,986,877,1672
229,13,IN,1,50,2.3079783295543167e-05,25,0,1690,585,2665,3770
230,13,TE,1,50,2.4937689210803773e-05,25,0,1777,984,881,1674
231,13,IN,1,50,2.4937689210803773e-05,25,0,1684,584,2671,3771
232,13,TE,1,50,2.6815016326074932e-05,25,0,1776,982,882,1676
233,13,IN,1,50,2.6815016326074932e-05,25,0,1683,583,2672,3772
234,13,TE,1,50,2.8720159718362152e-05,25,0,1775,981,883,1677
235,13,IN,1,50,2.8720159718362152e-05,25,0,1677,580,2678,3775
236,13,TE,1,50,3.066303628341213e-05,25,0,1774,980,884,1678
237,13,IN,1,50,3.066303628341213e-05,25,0,1676,577,2679,3778
238,13,TE,1,50,3.265147045275237e-05,25,0,1773,979,885,1679
239,13,IN,1,50,3.265147045275237e-05,25,0,1666,577,2689,3778
240,13,TE,1,50,3.469387050113955e-05,25,0,1770,978,888,1680
241,13,IN,1,50,3.469387050113955e-05,25,0,1661,576,2694,3779
242,13,TE,1,50,3.679424133474234e-05,25,0,1765,976,893,1682
243,13,IN,1,50,3.679424133474234e-05,25,0,1656,576,2699,3779
244,13,TE,1,50,3.896150178308387e-05,25,0,1764,974,894,1684
245,13,IN,1,50,3.896150178308387e-05,25,0,1648,575,2707,3780
246,13,TE,1,50,4.1201815323662365e-05,25,0,1758,971,900,1687
247,13,IN,1,50,4.1201815323662365e-05,25,0,1642,573,2713,3782
248,13,TE,1,50,4.3522270426320884e-05,25,0,1757,969,901,1689
249,13,IN,1,50,4.3522270426320884e-05,25,0,1638,572,2717,3783
250,13,TE,1,50,4.5930620654174636e-05,25,0,1752,968,906,1690
251,13,IN,1,50,4.5930620654174636e-05,25,0,1634,569,2721,3786
252,13,TE,1,50,4.8430748910933426e-05,25,0,1748,966,910,1692
253,13,IN,1,50,4.8430748910933426e-05,25,0,1626,569,2729,3786
254,13,TE,1,50,5.103157420234897e-05,25,0,1745,963,913,1695
255,13,IN,1,50,5.103157420234897e-05,25,0,1623,569,2732,3786
256,13,TE,1,50,5.373863956935208e-05,25,0,1736,960,922,1698
257,13,IN,1,50,5.373863956935208e-05,25,0,1620,567,2735,3788
258,13,TE,1,50,5.6558347537972355e-05,25,0,1729,956,929,1702
259,13,IN,1,50,5.6558347537972355e-05,25,0,1618,564,2737,3791
260,13,TE,1,50,5.9503553162298034e-05,25,0,1725,952,933,1706
261,13,IN,1,50,5.9503553162298034e-05,25,0,1614,561,2741,3794
262,13,TE,1,50,6.258088252872146e-05,25,0,1724,948,934,1710
263,13,IN,1,50,6.258088252872146e-05,25,0,1612,553,2743,3802
264,13,TE,1,50,6.579744633126796e-05,25,0,1719,943,939,1715
265,13,IN,1,50,6.579744633126796e-05,25,0,1608,550,2747,3805
266,13,TE,1,50,6.916279424208485e-05,25,0,1716,938,942,1720
267,13,IN,1,50,6.916279424208485e-05,25,0,1602,547,2753,3808
268,13,TE,1,50,7.26826372011691e-05,25,0,1706,933,952,1725
269,13,IN,1,50,7.26826372011691e-05,25,0,1599,541,2756,3814
270,13,TE,1,50,7.637262516287333e-05,25,0,1701,924,957,1734
271,13,IN,1,50,7.637262516287333e-05,25,0,1595,541,2760,3814
272,13,TE,1,50,8.02413126351504e-05,25,0,1693,917,965,1741
273,13,IN,1,50,8.02413126351504e-05,25,0,1589,540,2766,3815
274,13,TE,1,50,8.429298837344815e-05,25,0,1688,909,970,1749
275,13,IN,1,50,8.429298837344815e-05,25,0,1584,535,2771,3820
276,13,TE,1,50,8.854082809258606e-05,25,0,1683,902,975,1756
277,13,IN,1,50,8.854082809258606e-05,25,0,1577,535,2778,3820
278,13,TE,1,50,9.29962951204289e-05,25,0,1678,900,980,1758
279,13,IN,1,50,9.29962951204289e-05,25,0,1574,532,2781,3823
280,13,TE,1,50,9.76699825394582e-05,25,0,1675,887,983,1771
281,13,IN,1,50,9.76699825394582e-05,25,0,1568,529,2787,3826
282,13,TE,1,50,0.00010257607577622926,25,0,1670,876,988,1782
283,13,IN,1,50,0.00010257607577622926,25,0,1561,528,2794,3827
284,13,TE,1,50,0.00010772623633702747,25,0,1662,873,996,1785
285,13,IN,1,50,0.00010772623633702747,25,0,1555,523,2800,3832
286,13,TE,1,50,0.00011312761002080568,25,0,1652,867,1006,1791
